Axial Force,Moment X,Moment Y,N.A. Depth,N.A. Angle,D_t,eps_s
1255.963989,-53.493572,-10.420182,34.166073,200.000000,24.896286,-0.000950
1255.963989,-50.329067,-15.460175,34.522667,210.000000,25.450142,-0.000920
1255.963989,-47.137375,-20.551575,33.829277,220.000000,25.230711,-0.000890
1255.963989,-41.350922,-26.685511,32.396271,230.000000,24.244656,-0.000881
1255.963989,-33.287006,-31.734491,30.487106,240.000000,22.521940,-0.000914
1255.963989,-23.354004,-34.336201,28.377491,250.000000,20.114906,-0.001019
1255.963989,-12.194228,-36.479534,25.508774,260.000000,17.096691,-0.001154
1255.963989,-0.000015,-37.926888,22.121111,270.000000,13.559004,-0.001355
1255.963989,12.194257,-36.479580,25.508766,280.000000,17.096697,-0.001154
1255.963989,23.354025,-34.336224,28.377483,290.000000,20.114910,-0.001019
1255.963989,33.287003,-31.734474,30.487110,300.000000,22.521940,-0.000914
1255.963989,41.350899,-26.685486,32.396282,310.000000,24.244658,-0.000881
1255.963989,47.137409,-20.551584,33.829277,320.000000,25.230709,-0.000890
1255.963989,50.329060,-15.460163,34.522667,330.000000,25.450142,-0.000920
1255.963989,53.493572,-10.420175,34.166065,340.000000,24.896284,-0.000950
1255.963989,54.587147,-5.400450,33.219219,350.000000,23.585966,-0.001015
1228.660522,71.043495,0.000018,28.471088,0.000000,21.559002,-0.000850
1228.660522,70.051353,5.940104,30.201414,10.000000,23.585966,-0.000767
1228.660522,67.104813,12.588847,31.307686,20.000000,24.896286,-0.000717
1228.660522,64.389236,19.223906,31.509430,30.000000,25.450142,-0.000673
1228.660522,59.731487,26.144796,31.045105,40.000000,25.230709,-0.000656
1228.660522,53.020447,33.150784,29.825714,50.000000,24.244654,-0.000655
1228.660522,40.900074,40.664654,28.024088,60.000000,22.521938,-0.000687
1228.660522,27.865417,45.364368,25.798588,70.000000,20.114902,-0.000771
1228.660522,15.588027,47.715115,23.191858,80.000000,17.096689,-0.000920
1228.660522,-0.000003,50.576374,19.910185,90.000000,13.559000,-0.001116
1228.660522,-15.588000,47.715042,23.191870,100.000000,17.096689,-0.000920
1228.660522,-27.865393,45.364307,25.798595,110.000000,20.114902,-0.000771
1228.660522,-40.900101,40.664703,28.024082,120.000000,22.521938,-0.000687
1228.660522,-53.020401,33.150745,29.825718,130.000000,24.244654,-0.000655
1228.660522,-59.731461,26.144785,31.045103,140.000000,25.230709,-0.000656
1228.660522,-64.389290,19.223917,31.509422,150.000000,25.450142,-0.000673
1228.660522,-67.104782,12.588847,31.307688,160.000000,24.896286,-0.000717
1228.660522,-70.051491,5.940098,30.201395,170.000000,23.585970,-0.000767
1228.660522,-71.043488,-0.000009,28.471088,180.000000,21.559002,-0.000850
1228.660522,-70.051468,-5.940097,30.201399,190.000000,23.585968,-0.000767
1228.660522,-67.104744,-12.588837,31.307695,200.000000,24.896286,-0.000717
1228.660522,-64.389236,-19.223869,31.509430,210.000000,25.450142,-0.000673
1228.660522,-59.731480,-26.144770,31.045103,220.000000,25.230711,-0.000656
1228.660522,-53.020405,-33.150730,29.825720,230.000000,24.244656,-0.000655
1228.660522,-40.900131,-40.664665,28.024088,240.000000,22.521940,-0.000687
1228.660522,-27.865435,-45.364361,25.798588,250.000000,20.114906,-0.000771
1228.660522,-15.588025,-47.715042,23.191872,260.000000,17.096691,-0.000920
1228.660522,-0.000029,-50.576366,19.910189,270.000000,13.559004,-0.001116
1228.660522,15.588044,-47.715076,23.191866,280.000000,17.096697,-0.000920
1228.660522,27.865448,-45.364380,25.798588,290.000000,20.114910,-0.000771
1228.660522,40.900146,-40.664692,28.024082,300.000000,22.521940,-0.000687
1228.660522,53.020374,-33.150661,29.825727,310.000000,24.244658,-0.000655
1228.660522,59.731419,-26.144714,31.045113,320.000000,25.230709,-0.000656
1228.660522,64.389206,-19.223873,31.509430,330.000000,25.450142,-0.000673
1228.660522,67.104759,-12.588825,31.307690,340.000000,24.896284,-0.000717
1228.660522,70.051529,-5.940088,30.201384,350.000000,23.585966,-0.000767
1201.356934,88.632851,0.000023,26.479280,0.000000,21.559002,-0.000650
1201.356934,86.423790,9.864636,28.287390,10.000000,23.585966,-0.000582
1201.356934,83.890465,17.983572,29.480301,20.000000,24.896286,-0.000544
1201.356934,81.525650,25.825171,29.811754,30.000000,25.450142,-0.000512
1201.356934,75.486443,34.464664,29.425476,40.000000,25.230709,-0.000499
1201.356934,67.188377,42.455765,28.299307,50.000000,24.244654,-0.000501
1201.356934,53.239594,51.407658,26.522186,60.000000,22.521938,-0.000528
1201.356934,37.408554,57.931744,24.168701,70.000000,20.114902,-0.000587
1201.356934,20.856134,59.532368,21.417082,80.000000,17.096689,-0.000706
1201.356934,-0.000003,61.510651,18.326853,90.000000,13.559000,-0.000911
1201.356934,-20.856087,59.532337,21.417084,100.000000,17.096689,-0.000706
1201.356934,-37.408543,57.931732,24.168701,110.000000,20.114902,-0.000587
1201.356934,-53.239597,51.407669,26.522186,120.000000,22.521938,-0.000528
1201.356934,-67.188301,42.455692,28.299316,130.000000,24.244654,-0.000501
1201.356934,-75.486450,34.464680,29.425472,140.000000,25.230709,-0.000499
1201.356934,-81.525757,25.825216,29.811747,150.000000,25.450142,-0.000512
1201.356934,-83.890541,17.983601,29.480297,160.000000,24.896286,-0.000544
1201.356934,-86.423798,9.864654,28.287392,170.000000,23.585970,-0.000582
1201.356934,-88.632988,-0.000011,26.479277,180.000000,21.559002,-0.000650
1201.356934,-86.423706,-9.864608,28.287395,190.000000,23.585968,-0.000582
1201.356934,-83.890450,-17.983551,29.480301,200.000000,24.896286,-0.000544
1201.356934,-81.525688,-25.825174,29.811750,210.000000,25.450142,-0.000512
1201.356934,-75.486473,-34.464672,29.425474,220.000000,25.230711,-0.000499
1201.356934,-67.188332,-42.455711,28.299313,230.000000,24.244656,-0.000501
1201.356934,-53.239635,-51.407684,26.522186,240.000000,22.521940,-0.000528
1201.356934,-37.408627,-57.931797,24.168697,250.000000,20.114906,-0.000587
1201.356934,-20.856039,-59.532276,21.417091,260.000000,17.096691,-0.000706
1201.356934,-0.000021,-61.510651,18.326855,270.000000,13.559004,-0.000911
1201.356934,20.856066,-59.532276,21.417095,280.000000,17.096697,-0.000706
1201.356934,37.408627,-57.931782,24.168701,290.000000,20.114910,-0.000587
1201.356934,53.239578,-51.407623,26.522190,300.000000,22.521940,-0.000528
1201.356934,67.188347,-42.455673,28.299316,310.000000,24.244658,-0.000501
1201.356934,75.486549,-34.464691,29.425468,320.000000,25.230709,-0.000499
1201.356934,81.525658,-25.825144,29.811754,330.000000,25.450142,-0.000512
1201.356934,83.890450,-17.983545,29.480301,340.000000,24.896284,-0.000544
1201.356934,86.423828,-9.864633,28.287388,350.000000,23.585966,-0.000582
1174.053345,111.815224,0.000023,25.841581,0.000000,21.559002,-0.000580
1174.053345,106.650917,15.414365,27.310587,10.000000,23.585966,-0.000477
1174.053345,102.955627,24.651861,28.339231,20.000000,24.896286,-0.000425
1174.053345,98.635170,33.344284,28.659393,30.000000,25.450142,-0.000392
1174.053345,91.814331,42.561687,28.264242,40.000000,25.230709,-0.000376
1174.053345,81.652657,52.188404,27.165249,50.000000,24.244654,-0.000376
1174.053345,66.678635,61.795612,25.445084,60.000000,22.521938,-0.000402
1174.053345,49.470661,70.525192,23.115017,70.000000,20.114902,-0.000454
1174.053345,31.286932,73.180222,20.434258,80.000000,17.096689,-0.000572
1174.053345,-0.000003,75.036842,17.517229,90.000000,13.559000,-0.000791
1174.053345,-31.286890,73.180183,20.434259,100.000000,17.096689,-0.000572
1174.053345,-49.470699,70.525154,23.115019,110.000000,20.114902,-0.000454
1174.053345,-66.678604,61.795589,25.445086,120.000000,22.521938,-0.000402
1174.053345,-81.652618,52.188366,27.165253,130.000000,24.244654,-0.000376
1174.053345,-91.814293,42.561703,28.264242,140.000000,25.230709,-0.000376
1174.053345,-98.635201,33.344292,28.659393,150.000000,25.450142,-0.000392
1174.053345,-102.955666,24.651848,28.339231,160.000000,24.896286,-0.000425
1174.053345,-106.650993,15.414394,27.310587,170.000000,23.585970,-0.000477
1174.053345,-111.815163,-0.000018,25.841583,180.000000,21.559002,-0.000580
1174.053345,-106.650871,-15.414323,27.310591,190.000000,23.585968,-0.000477
1174.053345,-102.955589,-24.651848,28.339231,200.000000,24.896286,-0.000425
1174.053345,-98.635109,-33.344234,28.659399,210.000000,25.450142,-0.000392
1174.053345,-91.814240,-42.561623,28.264252,220.000000,25.230711,-0.000376
1174.053345,-81.652679,-52.188389,27.165249,230.000000,24.244656,-0.000376
1174.053345,-66.678719,-61.795609,25.445084,240.000000,22.521940,-0.000402
1174.053345,-49.470760,-70.525200,23.115017,250.000000,20.114906,-0.000454
1174.053345,-31.286890,-73.180168,20.434261,260.000000,17.096691,-0.000572
1174.053345,-0.000022,-75.036674,17.517235,270.000000,13.559004,-0.000791
1174.053345,31.286947,-73.180222,20.434263,280.000000,17.096697,-0.000572
1174.053345,49.470734,-70.525192,23.115021,290.000000,20.114910,-0.000454
1174.053345,66.678642,-61.795544,25.445087,300.000000,22.521940,-0.000402
1174.053345,81.652702,-52.188374,27.165253,310.000000,24.244658,-0.000376
1174.053345,91.814247,-42.561626,28.264248,320.000000,25.230709,-0.000376
1174.053345,98.635170,-33.344273,28.659393,330.000000,25.450142,-0.000392
1174.053345,102.955711,-24.651850,28.339226,340.000000,24.896284,-0.000425
1174.053345,106.651039,-15.414356,27.310583,350.000000,23.585966,-0.000477
1146.749756,133.963669,0.000025,25.213619,0.000000,21.559002,-0.000507
1146.749756,127.474426,18.583204,26.577553,10.000000,23.585966,-0.000394
1146.749756,122.119385,29.909952,27.388857,20.000000,24.896286,-0.000319
1146.749756,115.617409,39.990253,27.661543,30.000000,25.450142,-0.000280
1146.749756,107.853249,50.082092,27.242414,40.000000,25.230709,-0.000258
1146.749756,95.564659,61.263260,26.172262,50.000000,24.244654,-0.000258
1146.749756,79.471550,71.942116,24.497797,60.000000,22.521938,-0.000282
1146.749756,60.797977,82.505905,22.235388,70.000000,20.114902,-0.000334
1146.749756,40.133545,86.630768,19.728109,80.000000,17.096689,-0.000467
1146.749756,-0.000003,90.167206,17.110550,90.000000,13.559000,-0.000726
1146.749756,-40.133488,86.630669,19.728113,100.000000,17.096689,-0.000467
1146.749756,-60.798038,82.505928,22.235386,110.000000,20.114902,-0.000334
1146.749756,-79.471519,71.942101,24.497799,120.000000,22.521938,-0.000282
1146.749756,-95.564644,61.263245,26.172262,130.000000,24.244654,-0.000258
1146.749756,-107.853394,50.082157,27.242407,140.000000,25.230709,-0.000258
1146.749756,-115.617287,39.990223,27.661549,150.000000,25.450142,-0.000280
1146.749756,-122.119385,29.909967,27.388859,160.000000,24.896286,-0.000319
1146.749756,-127.474426,18.583216,26.577555,170.000000,23.585970,-0.000394
1146.749756,-133.963821,-0.000024,25.213615,180.000000,21.559002,-0.000507
1146.749756,-127.474480,-18.583189,26.577553,190.000000,23.585968,-0.000394
1146.749756,-122.119347,-29.909948,27.388857,200.000000,24.896286,-0.000319
1146.749756,-115.617287,-39.990189,27.661552,210.000000,25.450142,-0.000280
1146.749756,-107.853455,-50.082165,27.242407,220.000000,25.230711,-0.000258
1146.749756,-95.564705,-61.263302,26.172258,230.000000,24.244656,-0.000258
1146.749756,-79.471596,-71.942131,24.497797,240.000000,22.521940,-0.000282
1146.749756,-60.798092,-82.505943,22.235386,250.000000,20.114906,-0.000334
1146.749756,-40.133564,-86.630707,19.728113,260.000000,17.096691,-0.000467
1146.749756,-0.000055,-90.167290,17.110550,270.000000,13.559004,-0.000726
1146.749756,40.133595,-86.630745,19.728115,280.000000,17.096697,-0.000467
1146.749756,60.798115,-82.505959,22.235388,290.000000,20.114910,-0.000334
1146.749756,79.471535,-71.942047,24.497803,300.000000,22.521940,-0.000282
1146.749756,95.564659,-61.263172,26.172268,310.000000,24.244658,-0.000258
1146.749756,107.853340,-50.082111,27.242411,320.000000,25.230709,-0.000258
1146.749756,115.617271,-39.990196,27.661551,330.000000,25.450142,-0.000280
1146.749756,122.119408,-29.909948,27.388855,340.000000,24.896284,-0.000319
1146.749756,127.474464,-18.583185,26.577551,350.000000,23.585966,-0.000394
1119.446167,155.007202,0.000028,24.598135,0.000000,21.559002,-0.000432
1119.446167,148.106201,18.729456,25.923962,10.000000,23.585966,-0.000316
1119.446167,141.324509,34.318237,26.625999,20.000000,24.896286,-0.000227
1119.446167,132.735031,46.231369,26.845692,30.000000,25.450142,-0.000182
1119.446167,123.932579,57.375385,26.403467,40.000000,25.230709,-0.000155
1119.446167,109.370872,69.650734,25.371748,50.000000,24.244654,-0.000155
1119.446167,92.286476,81.939323,23.719942,60.000000,22.521938,-0.000177
1119.446167,71.877357,94.248680,21.524498,70.000000,20.114902,-0.000229
1119.446167,47.341492,99.898430,19.142921,80.000000,17.096689,-0.000374
1119.446167,-0.000003,104.667320,16.710363,90.000000,13.559000,-0.000660
1119.446167,-47.341465,99.898415,19.142921,100.000000,17.096689,-0.000374
1119.446167,-71.877396,94.248657,21.524498,110.000000,20.114902,-0.000229
1119.446167,-92.286469,81.939323,23.719940,120.000000,22.521938,-0.000177
1119.446167,-109.370796,69.650673,25.371754,130.000000,24.244654,-0.000155
1119.446167,-123.932495,57.375366,26.403469,140.000000,25.230709,-0.000155
1119.446167,-132.734955,46.231354,26.845695,150.000000,25.450142,-0.000182
